NOME;NOME FANTASIA;CNPJ;ANO;Relatório;ESCOPO;Categoria;Emissões (tCO2e);Emissões de CO2 biogênico (t);Remoções de CO2 biogênico (t)
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 1;Combustão móvel;11286,878;1400,987;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 1;Combustão estacionária;1969191,456;156,806;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 1;Processos industriais;576108,888;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 1;Resíduos sólidos e efluentes líquidos;71805,480;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 1;Fugitivas;1214,552;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 1;Mudanças no uso do solo;57180,862;0,000;520,584
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;180377,047;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;73132,281;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 3;"3. Atividades relacionadas com
combustível e energia não inclusas
nos Escopos 1 e 2";480736,618;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 3;4. Transporte e distribuição (upstream);279372,882;6511,523;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 3;5. Resíduos gerados nas operações;258,387;197,120;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 3;6. Viagens a negócios;175,151;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 3;"7. Emissões de funcionários
(casa-trabalho)";1458,387;174,137;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 3;9. Transporte e distribuição (downstream);22077,086;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Controle Operacional;Escopo 3;Gás de efeito estufa não contemplados pelo Protocolo de Quioto: HCFC-22 ;1443,024;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 1;Combustão móvel;11286,878;1400,987;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 1;Combustão estacionária;1969191,456;156,806;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 1;Processos industriais;576108,888;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 1;Resíduos sólidos e efluentes líquidos;71805,480;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 1;Fugitivas;1214,552;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 1;Mudanças no uso do solo;57180,862;0,000;520,584
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;180377,047;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;73132,281;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 3;"3. Atividades relacionadas com
combustível e energia não inclusas
nos Escopos 1 e 2";480736,618;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 3;4. Transporte e distribuição (upstream);279372,882;6511,523;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 3;5. Resíduos gerados nas operações;258,387;197,120;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 3;6. Viagens a negócios;175,151;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 3;"7. Emissões de funcionários
(casa-trabalho)";1458,387;174,137;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 3;9. Transporte e distribuição (downstream);22077,086;0,000;0,000
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;2023;Participação Societária;Escopo 3;Gás de efeito estufa não contemplados pelo Protocolo de Quioto: HCFC-22 ;1443,024;0,000;0,000
Companhia Geral de Minas;CGM;60.580.396/0001-15;2023;Controle Operacional;Escopo 1;Combustão móvel;749,476;89,373;0,000
Companhia Geral de Minas;CGM;60.580.396/0001-15;2023;Controle Operacional;Escopo 1;Atividades agrícolas;114,331;0,000;0,000
Companhia Geral de Minas;CGM;60.580.396/0001-15;2023;Controle Operacional;Escopo 1;Mudanças no uso do solo;647,635;7880,563;7,692
Companhia Geral de Minas;CGM;60.580.396/0001-15;2023;Controle Operacional;Escopo 3;"3. Atividades relacionadas com
combustível e energia não inclusas
nos Escopos 1 e 2";165,642;0,000;0,000
Companhia Geral de Minas;CGM;60.580.396/0001-15;2023;Controle Operacional;Escopo 3;6. Viagens a negócios;7,347;0,000;0,000
Companhia Geral de Minas;CGM;60.580.396/0001-15;2023;Controle Operacional;Escopo 3;9. Transporte e distribuição (downstream);6528,007;779,506;0,000
Companhia Geral de Minas;CGM;60.580.396/0001-15;2023;Participação Societária;Escopo 1;Combustão móvel;749,476;89,373;0,000
Companhia Geral de Minas;CGM;60.580.396/0001-15;2023;Participação Societária;Escopo 1;Atividades agrícolas;114,331;0,000;0,000
Companhia Geral de Minas;CGM;60.580.396/0001-15;2023;Participação Societária;Escopo 1;Mudanças no uso do solo;647,635;7880,563;7,692
Companhia Geral de Minas;CGM;60.580.396/0001-15;2023;Participação Societária;Escopo 3;"3. Atividades relacionadas com
combustível e energia não inclusas
nos Escopos 1 e 2";165,642;0,000;0,000
Companhia Geral de Minas;CGM;60.580.396/0001-15;2023;Participação Societária;Escopo 3;6. Viagens a negócios;7,347;0,000;0,000
Companhia Geral de Minas;CGM;60.580.396/0001-15;2023;Participação Societária;Escopo 3;9. Transporte e distribuição (downstream);6528,007;779,506;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Controle Operacional;Escopo 1;Combustão móvel;2687,949;283,798;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Controle Operacional;Escopo 1;Combustão estacionária;40066,995;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Controle Operacional;Escopo 1;Resíduos sólidos e efluentes líquidos;240,625;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Controle Operacional;Escopo 1;Fugitivas;318,890;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Controle Operacional;Escopo 1;Mudanças no uso do solo;0,000;6091,376;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;12505,353;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;0,000;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Controle Operacional;Escopo 3;"3. Atividades relacionadas com
combustível e energia não inclusas
nos Escopos 1 e 2";12776,329;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Controle Operacional;Escopo 3;4. Transporte e distribuição (upstream);6606,753;788,914;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Controle Operacional;Escopo 3;6. Viagens a negócios;130,587;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Controle Operacional;Escopo 3;"7. Emissões de funcionários
(casa-trabalho)";448,716;83,167;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Controle Operacional;Escopo 3;9. Transporte e distribuição (downstream);0,000;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Participação Societária;Escopo 1;Combustão móvel;2687,949;283,798;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Participação Societária;Escopo 1;Combustão estacionária;40066,995;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Participação Societária;Escopo 1;Resíduos sólidos e efluentes líquidos;240,625;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Participação Societária;Escopo 1;Fugitivas;318,890;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Participação Societária;Escopo 1;Mudanças no uso do solo;0,000;6091,376;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;12505,353;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;0,000;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Participação Societária;Escopo 3;"3. Atividades relacionadas com
combustível e energia não inclusas
nos Escopos 1 e 2";12776,329;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Participação Societária;Escopo 3;4. Transporte e distribuição (upstream);6606,753;788,914;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Participação Societária;Escopo 3;6. Viagens a negócios;130,587;0,000;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Participação Societária;Escopo 3;"7. Emissões de funcionários
(casa-trabalho)";448,716;83,167;0,000
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;2023;Participação Societária;Escopo 3;9. Transporte e distribuição (downstream);0,000;0,000;0,000
