Emissão/Remoção/Bunker;Gás;Setor de emissão;Categoria emissora;Sub-categoria emissora;Produto ou sistema;Detalhamento;Recorte;Atividade geral;Estado;Bioma;2019;2020;2021;2022;2023
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Carvão vegetal;Emissão efetiva;Metalurgia;Minas Gerais;NA;48102,74;51789,66;103228,34;101906,33;95269,82
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Carvão vegetal;Emissão efetiva;Metalurgia;Não Alocado;NA;50738,43;54627,36;108884,52;107490,08;100489,94
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Carvão vegetal;Emissão efetiva;Metalurgia;São Paulo;NA;1202,57;1294,74;2580,71;2547,66;2381,75
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Coque de carvão mineral;Emissão efetiva;Metalurgia;Bahia;NA;280057,79;301523,31;313751,03;296511,29;277201,39
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Coque de carvão mineral;Emissão efetiva;Metalurgia;Mato Grosso do Sul;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Coque de carvão mineral;Emissão efetiva;Metalurgia;Minas Gerais;NA;63969,24;68872,28;71665,27;67727,46;63316,80
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Coque de carvão mineral;Emissão efetiva;Metalurgia;Não Alocado;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Coque de carvão mineral;Emissão efetiva;Metalurgia;São Paulo;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Coque de petróleo;Emissão efetiva;Metalurgia;Bahia;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Coque de petróleo;Emissão efetiva;Metalurgia;Mato Grosso do Sul;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Coque de petróleo;Emissão efetiva;Metalurgia;Minas Gerais;NA;17991,07;10501,15;9660,03;9129,23;8534,71
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Coque de petróleo;Emissão efetiva;Metalurgia;Não Alocado;NA;487622,70;284618,96;261821,37;247435,02;231321,15
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Coque de petróleo;Emissão efetiva;Metalurgia;São Paulo;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de magnésio;Consumo de dolomita;Consumo de dolomita;Emissão efetiva;Metalurgia;Minas Gerais;NA;137715,50;128744,63;146995,32;146995,32;146995,32
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de magnésio;Uso de SF6;Uso de SF6;Emissão efetiva;Metalurgia;Minas Gerais;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de outros não-ferrosos;Consumo de combustíveis redutores;Carvão vapor 6000;Emissão efetiva;Metalurgia;Não Alocado;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de outros não-ferrosos;Consumo de combustíveis redutores;Carvão vegetal;Emissão efetiva;Metalurgia;Não Alocado;NA;2958,95;2841,55;3005,96;2735,42;2906,76
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de outros não-ferrosos;Consumo de combustíveis redutores;Coque de carvão mineral;Emissão efetiva;Metalurgia;Não Alocado;NA;1179067,03;1205006,50;1446007,81;1315867,10;1398289,55
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de outros não-ferrosos;Consumo de combustíveis redutores;Coque de petróleo;Emissão efetiva;Metalurgia;Não Alocado;NA;1017503,34;1072682,01;838666,07;607928,95;539508,51
