Emissão/Remoção/Bunker;Gás;Setor de emissão;Categoria emissora;Sub-categoria emissora;Produto ou sistema;Detalhamento;Recorte;Atividade geral;Estado;Bioma;2019;2020;2021;2022;2023
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Acre;Amazônia;37;37;37;37;37
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Amapá;Amazônia;37;38;39;41;42
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Amazonas;Amazônia;35;36;36;37;38
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Maranhão;Amazônia;729;700;672;648;621
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Mato Grosso;Amazônia;148;152;155;160;164
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Pará;Amazônia;314;277;240;204;167
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rondônia;Amazônia;142;147;152;156;161
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Roraima;Amazônia; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Tocantins;Amazônia;186;190;195;201;206
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Alagoas;Caatinga;542;550;557;564;571
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Bahia;Caatinga;2851;2596;2341;2088;1835
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Ceará;Caatinga;6757;6643;6529;6414;6300
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Minas Gerais;Caatinga;93;85;77;69;61
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Paraíba;Caatinga;999;906;813;720;627
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Pernambuco;Caatinga;1312;1043;774;504;235
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Piauí;Caatinga; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rio Grande do Norte;Caatinga;2010;1968;1926;1883;1841
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Sergipe;Caatinga;467;470;474;478;482
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Bahia;Cerrado;166;152;137;122;108
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Distrito Federal;Cerrado;17;18;19;20;22
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Goiás;Cerrado;116;112;106;102;98
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Maranhão;Cerrado;1227;1183;1140;1092;1047
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Mato Grosso;Cerrado;92;94;96;98;99
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Mato Grosso do Sul;Cerrado;126;126;126;126;125
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Minas Gerais;Cerrado;117;107;97;86;76
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Pará;Cerrado;5;5;4;3;3
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Paraná;Cerrado;1;1;1;1;0
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Piauí;Cerrado; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rondônia;Cerrado;0;0;0;0;0
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;São Paulo;Cerrado;54;56;59;62;64
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Tocantins;Cerrado;456;469;482;494;507
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Alagoas;Mata Atlântica;43;44;44;45;45
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Bahia;Mata Atlântica;1732;1581;1430;1280;1128
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Espírito Santo;Mata Atlântica;87;88;88;89;89
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Goiás;Mata Atlântica;3;3;2;2;2
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Mato Grosso do Sul;Mata Atlântica;32;32;32;32;32
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Minas Gerais;Mata Atlântica;401;367;332;295;260
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Paraíba;Mata Atlântica;46;41;37;33;29
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Paraná;Mata Atlântica;34;32;27;25;22
