Emissão/Remoção/Bunker;Gás;Setor de emissão;Categoria emissora;Sub-categoria emissora;Produto ou sistema;Detalhamento;Recorte;Atividade geral;Estado;Bioma;2019;2020;2021;2022;2023
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Sergipe;Mata Atlântica;33279,37;30240,98;38936,35;38530,68;40856,26
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Rio Grande do Sul;Pampa;7645841,97;7453937,04;7579976,63;7410113,98;6602520,23
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Mato Grosso;Pantanal;1,56;2,63;2,17;11,81;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Mato Grosso do Sul;Pantanal;914,35;964,51;890,98;1159,65;454,14
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Acre;Amazônia;215,19;214,38;212,49;211,68;210,33
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Amapá;Amazônia;210,33;218,43;226,80;234,90;242,73
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Amazonas;Amazônia;201,42;205,47;209,25;212,49;215,73
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Maranhão;Amazônia;4186,21;4023,88;3861,91;3721,26;3569,92
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Mato Grosso;Amazônia;851,61;871,04;892,59;917,07;939,66
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Pará;Amazônia;1802,73;1588,97;1380,11;1169,19;960,40
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rondônia;Amazônia;817,57;844,02;871,33;897,47;925,22
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Roraima;Amazônia;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Tocantins;Amazônia;1068,65;1093,80;1122,94;1154,37;1182,07
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Alagoas;Caatinga;3114,90;3156,88;3198,67;3241,94;3282,38
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Bahia;Caatinga;16375,84;14913,88;13450,77;11992,61;10542,05
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Ceará;Caatinga;38817,09;38161,26;37504,62;36847,44;36191,88
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Minas Gerais;Caatinga;532,74;489,60;443,10;396,60;347,60
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Paraíba;Caatinga;5736,31;5202,62;4669,07;4135,39;3603,80
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Pernambuco;Caatinga;7538,62;5993,32;4445,09;2897,42;1352,29
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Piauí;Caatinga;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rio Grande do Norte;Caatinga;11549,05;11303,13;11061,43;10817,08;10575,20
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Sergipe;Caatinga;2683,74;2702,72;2722,48;2743,44;2766,34
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Bahia;Cerrado;954,12;873,30;788,79;702,41;619,12
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Distrito Federal;Cerrado;96,39;103,41;110,16;117,18;124,20
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Goiás;Cerrado;667,16;641,87;611,35;583,89;561,35
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Maranhão;Cerrado;7046,87;6797,45;6546,59;6273,33;6012,92
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Mato Grosso;Cerrado;526,42;537,98;551,53;561,70;569,34
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Mato Grosso do Sul;Cerrado;723,91;723,35;722,45;721,73;719,77
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Minas Gerais;Cerrado;673,99;613,28;555,18;492,21;434,93
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Pará;Cerrado;29,49;26,71;23,62;19,89;15,92
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Paraná;Cerrado;3,99;3,80;3,09;2,88;2,67
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Piauí;Cerrado;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rondônia;Cerrado;1,61;1,62;1,58;1,63;1,69
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;São Paulo;Cerrado;308,48;324,27;339,24;353,57;369,80
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Tocantins;Cerrado;2617,39;2693,49;2766,41;2839,20;2914,91
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Alagoas;Mata Atlântica;247,95;251,33;254,63;256,45;259,75
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Bahia;Mata Atlântica;9948,70;9081,18;8214,19;7351,68;6481,18
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Espírito Santo;Mata Atlântica;500,31;503,82;505,98;510,30;512,46
