NOME;NOME FANTASIA;CNPJ;ESTADO;ANO;Relatório;ESCOPO;Categoria;Emissões (tCO2e);Emissões de CO2 biogênico (t);Remoções de CO2 biogênico (t);Gás
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2023;Participação Societária;Escopo 1;Mudanças no uso do solo;0,00;6091,38;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2023;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;12505,35;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Controle Operacional;Escopo 1;Combustão móvel;49558,25;4998,76;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Controle Operacional;Escopo 1;Combustão estacionária;2153741,12;3977,30;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Controle Operacional;Escopo 1;Processos industriais;252893,74;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Controle Operacional;Escopo 1;Resíduos sólidos e efluentes líquidos;297,45;29,52;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Controle Operacional;Escopo 1;Fugitivas;2161,43;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Controle Operacional;Escopo 1;Atividades agrícolas;58,55;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Controle Operacional;Escopo 1;Mudanças no uso do solo;367823,12;477,38;11526,33;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;74000,06;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;54905,96;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Participação Societária;Escopo 1;Combustão móvel;31185,45;3132,70;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Participação Societária;Escopo 1;Combustão estacionária;1259856,66;2433,27;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Participação Societária;Escopo 1;Processos industriais;144073,56;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Participação Societária;Escopo 1;Resíduos sólidos e efluentes líquidos;278,43;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Participação Societária;Escopo 1;Fugitivas;1363,67;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Participação Societária;Escopo 1;Atividades agrícolas;58,55;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Participação Societária;Escopo 1;Mudanças no uso do solo;223483,22;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;45651,83;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2022;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;31410,68;0,00;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2022;Controle Operacional;Escopo 1;Combustão móvel;36596,93;3643,05;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2022;Controle Operacional;Escopo 1;Combustão estacionária;37236,89;3848,44;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2022;Controle Operacional;Escopo 1;Resíduos sólidos e efluentes líquidos;40,64;1,61;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2022;Controle Operacional;Escopo 1;Fugitivas;286,20;0,00;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2022;Controle Operacional;Escopo 1;Mudanças no uso do solo;319221,48;0,00;10477,93;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2022;Participação Societária;Escopo 1;Combustão móvel;36596,93;3643,05;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2022;Participação Societária;Escopo 1;Combustão estacionária;37236,89;3848,44;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2022;Participação Societária;Escopo 1;Resíduos sólidos e efluentes líquidos;40,64;1,61;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2022;Participação Societária;Escopo 1;Fugitivas;286,20;0,00;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2022;Participação Societária;Escopo 1;Mudanças no uso do solo;319221,48;0,00;0,00;
